Time,Total Inflow,Total Outflow
5900,947.302555800163,0.0
5901,1452.8230361103754,0.0
5902,2797.3557789698725,0.0
5903,3204.50770274061,0.0
5904,2856.67521349442,3998.7164579100795
5905,2380.593579234633,3998.7164579100795
5906,1938.813742621655,3998.7164579100795
5907,1581.032740580481,3998.7164579100795
5908,1372.9978256938598,3998.7164579100795
5909,1045.71959511078,0.0
5910,887.4583466643627,0.0
5911,678.5900437472218,0.0
5912,529.892781163553,0.0
5913,543.7814799972026,0.0
5914,572.7503879977771,0.0
5915,579.1219999979035,0.0
5916,579.1219999979035,0.0
5917,579.1219999979035,0.0
5918,579.1219999979035,0.0
5919,572.1291176558805,0.0
5920,850.5243340869238,0.0
5921,874.2734214653241,3998.7164579100795
5922,877.2777768855751,3998.7164579100795
5923,1098.4142357588864,3998.7164579100795
5924,676.8974121310877,0.0
5925,655.7422542955499,0.0
5926,659.0586206859729,0.0
5927,659.0586206859729,0.0
5928,659.0586206859729,0.0
5929,659.0586206859729,0.0
5930,659.0586206859729,0.0
5931,659.0586206859729,0.0
5932,659.0586206859729,0.0
5933,707.3704626696396,0.0
5934,1233.0776049519454,0.0
5935,1611.6073824422394,0.0
5936,1008.9793760264394,3998.7164579100795
5937,541.0936793069692,3998.7164579100795
5938,490.4173037620412,3998.7164579100795
5939,449.15483870218947,0.0
5940,449.15483870218947,0.0
5941,449.15483870218947,0.0
5942,449.15483870218947,0.0
5943,449.15483870218947,0.0
5944,451.6426077116165,0.0
5945,469.5717016071465,0.0
5946,737.1623682285851,0.0
5947,1228.5604622764558,0.0
5948,1494.837708785941,0.0
5949,1193.104383813917,0.0
5950,871.1911040091129,0.0
5951,1559.099619561161,0.0
5952,2622.8827403662167,3998.7164579100795
5953,3133.48420713956,3998.7164579100795
5954,2828.511236109591,3998.7164579100795
5955,2381.326615153006,3998.7164579100795
5956,1963.5306193641359,3998.7164579100795
5957,1731.7684240744634,3998.7164579100795
5958,1620.9546741651814,0.0
5959,1605.9420089986172,0.0
5960,1369.2916903914331,0.0
5961,1005.8287576479772,0.0
5962,878.7699821682935,0.0
5963,858.8172731378925,0.0
5964,652.0900998271507,0.0
5965,625.6928630400088,0.0
5966,612.0524199959855,0.0
5967,784.978972113961,3998.7164579100795
5968,834.3661383309659,3998.7164579100795
5969,529.9890396118803,3998.7164579100795
5970,886.3646334480494,0.0
5971,1118.1807118371328,0.0
5972,919.9498005463939,0.0
5973,953.9228030745018,0.0
5974,1248.6474938595004,0.0
5975,898.1110909753262,0.0
5976,547.9058823496164,0.0
5977,547.9058823496164,0.0
5978,521.7080011293326,0.0
5979,390.9546119758413,0.0
5980,312.12495136705724,0.0
5981,491.80566547753176,0.0
5982,1822.7018490639957,0.0
5983,3465.5152997019645,3998.7164579100795
5984,3814.4390781860525,3998.7164579100795
5985,3468.9945597926894,3998.7164579100795
5986,3002.556720422555,3998.7164579100795
5987,2566.1068087370654,3998.7164579100795
5988,2223.3978034710967,3998.7164579100795
5989,1877.5038950380151,3998.7164579100795
5990,1635.6473743716062,3998.7164579100795
5991,1633.4446714072517,0.0
5992,1695.4818377822614,0.0
5993,1704.0554134688477,0.0
5994,1370.045870931579,0.0
5995,911.8969358065639,0.0
5996,783.0990336632069,0.0
5997,852.5575971106172,0.0
5998,892.8682029686446,0.0
5999,570.6088333269722,3998.7164579100795
6000,531.6999999932412,3998.7164579100795
6001,531.6999999932412,3998.7164579100795
6002,531.6999999932412,0.0
6003,531.6999999932412,0.0
6004,531.6999999932412,0.0
6005,531.6999999932412,0.0
6006,531.6999999932412,0.0
6007,527.5910632914556,0.0
6008,899.3336318828974,0.0
6009,1165.9630799187382,0.0
6010,1104.0750894304006,0.0
6011,976.3419706527457,0.0
6012,749.8072471817234,0.0
6013,742.7792869665504,0.0
6014,1358.11666651826,0.0
6015,1081.8418544334195,3998.7164579100795
6016,566.2385241447694,3998.7164579100795
6017,910.340383669721,3998.7164579100795
6018,1593.597081851348,0.0
6019,1742.532671064267,0.0
6020,1289.5540087771615,0.0
6021,656.9455104129097,0.0
6022,715.3660159994797,0.0
6023,1200.8926869052764,0.0
6024,731.4618944408695,0.0
6025,376.17833332652054,0.0
6026,376.17833332652054,0.0
6027,376.17833332652054,0.0
6028,376.17833332652054,3998.7164579100795
6029,376.17833332652054,3998.7164579100795
6030,376.17833332652054,0.0
6031,376.17833332652054,0.0
6032,376.17833332652054,0.0
6033,376.17833332652054,0.0
6034,749.0395671810859,0.0
6035,1252.1747562114654,0.0
6036,744.6620151317202,0.0
6037,551.4916388861304,0.0
6038,638.0472092773107,0.0
6039,632.1563048986114,0.0
6040,623.6179190590559,0.0
6041,623.5764705841067,0.0
6042,623.5764705841067,3998.7164579100795
6043,623.5764705841067,3998.7164579100795
6044,606.3617603530686,3998.7164579100795
6045,543.5615398162179,0.0
6046,519.1635799100467,0.0
6047,521.1499999943481,0.0
6048,521.1499999943481,0.0
6049,521.1499999943481,0.0
6050,521.1499999943481,0.0
6051,521.1499999943481,0.0
6052,521.1499999943481,0.0
6053,521.1499999943481,0.0
6054,461.9257225832469,0.0
6055,317.59498502277995,0.0
6056,321.69039106463725,0.0
6057,408.78565874407207,0.0
6058,436.89894321536536,0.0
6059,524.0319076872694,0.0
6060,664.5089811274156,0.0
6061,1256.7123242097325,0.0
6062,1692.8635774042834,0.0
6063,1121.0533587799982,3998.7164579100795
6064,537.0286084240223,3998.7164579100795
6065,855.0002847912813,3998.7164579100795
6066,1520.4447640835656,0.0
6067,1637.1736650207647,0.0
6068,1303.9929096127885,0.0
6069,706.4767994901819,0.0
6070,557.3893813345783,0.0
6071,550.4827058324663,0.0
6072,452.49118970047493,0.0
6073,334.40052285445455,0.0
6074,324.84736841351736,0.0
6075,322.35233703272877,0.0
6076,285.8460884085538,0.0
6077,248.81457002000175,0.0
6078,246.05690375702451,0.0
6079,246.05690375702451,3998.7164579100795
6080,487.27219201834595,3998.7164579100795
6081,738.2004637134808,0.0
6082,486.0754999946285,0.0
6083,452.8999999943361,0.0
6084,452.8999999943361,0.0
6085,453.3412945281078,0.0
6086,462.1649225353805,0.0
6087,472.29839647365395,0.0
6088,792.7384896378564,0.0
6089,791.5484783536709,0.0
6090,1220.0607952634334,0.0
6091,1425.017401882193,0.0
6092,1229.6245955780914,3998.7164579100795
6093,807.355523804305,3998.7164579100795
6094,621.0099046623649,3998.7164579100795
6095,535.1134056400747,0.0
6096,499.7744563360578,0.0
6097,499.19677418548594,0.0
6098,499.19677418548594,0.0
